labs_os,Labs OS
setting_wipe_data,Wyczyść Dane
setting_sync_data,Synchronizuj Zapis
loading,Ładowanie
active,Aktywny
queue,Kolejka
value,Wartość
size,Rozmiar
quality,Jakość
research,Badanie
cost,Koszt
reward,Nagroda
claimed,Odebrane
owned,Posiadane
support_level,Poziom Wsparcia
schematic_name,Nazwa schematu
sending,Wysyłanie
connecting,Łączenie
exported,Eksportowano
code_invalid,Niepoprawny kod
code_expired,Kod nieważny
error,Błąd
no_schematics_saved,Nie posiadasz jeszcze żadnych schematów
threat,Zagrożenie
level,Poziom
lv.,Lv.
storage_size,Rozmiar Pamięci
storage_value,Wartość Pamięci
server_stats,Statystyki serwera
tokens_mined,Wydobyte tokeny
free,Darmowe
points,Punkty
hack_points,Punkty Hakowania
bug,Bug
empty,Pusto
input_currency,Wprowadź Walutę
input_file,Wprowadź Plik
insert_coin,Wprowadź Monetę
input_element,Wprowadź Element
input_damage,Wprowadź Obrażenia
input_variable,Zmienna Wejściowa
input_array,Tablica Wejściowa
input_code,Wprowadź Kod
invalid_request,Niepoprawna Prośba
invalid_request_desc,Wprowadź odpowiedni plik
invalid_project,Niepoprawny Projekt
invalid_project_desc,Wprowadź ważny kod
optimization_points,Punkty Optymalizacji
application_points,Punkty Aplikacji
driver,Sterownik
hardware_multiplier,Mnożnik Sprzętu
max,Maks
mk.,Gen.
version,Wersja
ver.,Ver.
progress,Postęp
ratio,Stosunek
burn_rate,Wskaźnik Zużycia
speed,Prędkość
sell at,Sprzedaj za
rest_time,Czas przerwy
rest_time_desc,Zwiększa prędkość czasu 5cio-krotnie.  Zyskaj 1 sekundę co 72 sekund offline
time,Czas
seconds,Sekundy
second_abbreviation,s
consumption,Zużycie
multiplier,Mnożnik
breach_speed,Prędkość Naruszenia
breached,Naruszony
firewall,Zapora Sieciowa
time_left,Pozostały Czas
vulnerable,Podatne
critical,Krytyczne
completed,Ukończone
ready,Gotowe
new_achievement,Nowe Osiągnięcie
request_completed,Źądanie Ukończone
new_windows_processor,Nowe węzły CPU są dostępne
new_windows_network,Nowe węzły sieci są dostępne
new_windows_gpu,Nowe węzły GPU są dostępne
new_windows_research,Nowe węzły badań są dostępne
new_windows_hacking,Nowe węzły hakowania są dostępne
new_windows_coding,Nowe węzły kodowania są dostępne
new_windows_utilities,Nowe węzły użytkowe są dostępne
new_upgrades_available,Nowe ulepszenia są dostępne
new_hack_level,Wyższy poziom hakowania
new_code_level,Wyższy poziom wkładu
new_application_point,Nowy punkt aplikacji
new_optimization_point,Nowy punkt optymalizacji
breach_bank_failed,Nieudane naruszenie banku
breach_bank_success,Naruszenie bezpieczeństwa banku zakończone
tool_cursor,Kursor
tool_move,Swobodna Kamera
tool_selection,Narzędzie Wyboru
tool_connection_editor_on,Edytor Węzłów Włączony
tool_connection_editor_off,Edytor Węzłów Wyłączony
schematic_saved,Schemat zapisany
hold_to_skip,"Przytrzymaj, aby pominąć"
support_us,Wesprzyj nas kupując przedmioty i otrzymaj odznaki!
thank_you,Dziękujemy!
tokens_claimed,Tokeny premium odebrane
resource_download_speed,Prędkość Pobierania
resource_download_speed_desc,Prędkość sieci do pobierania plików (bity/sek).
resource_upload_speed,Prędkość Wysyłania
resource_upload_speed_desc,Prędkość sieci do wysyłania plików (bity/sek).
resource_clock_speed,Taktowanie
resource_clock_speed_desc,Prędkość Procesora dla węzłów przetwarzających (herce).
resource_gpu_speed,Prędkość GPU
resource_gpu_speed_desc,Prędkość GPU dla procesów równoległych (herce).
resource_research_power,Prędkość Badań
resource_research_power_desc,Tempo przeszukiwania plików na sekundę.
resource_hack_power,Moc Hakowania
resource_hack_power_desc,"Prędkość naruszenia, która rośnie wraz z Poziomem Hakowania."
resource_code_speed,Prędkość Kodowania
resource_code_speed_desc,"Zmienna prędkość kodowania, która rośnie wraz z Poziomem Wkładu."
resource_boost_component,Wzmocnienie Komponentu
resource_boost_component_desc,Wzmocnienie działania Komponentu.
resource_boost_research,Wzmocnienie Badań
resource_boost_research_desc,Wzmocnienie prędkości Badań.
resource_boost_hack,Wzmocnienie Hakowania
resource_boost_hack_desc,Wzmocnienie prędkości Hakowania.
resource_boost_code,Wzmocnienie Kodu
resource_boost_code_desc,Wzmocnienie prędkości Kodowania.
resource_overclock,Podkręcenie
resource_overclock_desc,Ustawienie używane do zwiększenia wydajności komponentów.
resource_heat,Ciepło
resource_heat_desc,Wygenerowane przez podkręcenie.
resource_money,Pieniądze
resource_money_desc,Waluta do odblokowywania ulepszeń.
resource_research,Badanie
resource_research_desc,Waluta do odblokowywania technologii.
resource_token,Token
resource_token_desc,"Rzadka waluta na unikalne korzyści, wzmocnienia i usługi. "
resource_infected_computer,Zainfekowany Komputer
resource_infected_computer_desc,Uzyskiwane za przejmowanie komputerów przez Trojany.
resource_hack_experience,Doświadczenie w hakowaniu
resource_hack_experience_desc,Zwiększ poziom Hakowania; uzyskane poprzez Anonimowe włamanie.
resource_corporation_data,Dane Korporacji
resource_corporation_data_desc,Uzyskiwane poprzez włamanie do Korporacji; używane do ulepszania naruszeń.
resource_government_data,Dane wywiadowcze rządu
resource_government_data_desc,"Uzyskiwane poprzed włamanie do Rządowych instytucji, używane do ulepszania włamań."
resource_contribution,Wkład
resource_contribution_desc,Zwiększa poziom Wkładu; zdobywane poprzez zatwierdzanie kodu.
resource_ai,Siła AI
resource_ai_desc,Zwiększa produkcję; uzyskiwane z neuronów.
resource_trojan,Trojan
resource_trojan_desc,Infiltruje komputer po wrzuceniu do pliku; produkcja wzrasta wraz z Poziomem Hakowania.
resource_neuron_text,Neuron Tekstowy
resource_neuron_text_desc,Wytwarzane na podstawie treningu AI  na Plikach Tekstowych.
resource_neuron_image,Neuron Obrazu
resource_neuron_image_desc,Wytwarzane na podstawie treningu AI  na Obrazach.
resource_neuron_sound,Neuron Dźwiękowy
resource_neuron_sound_desc,"Wytwarzane na podstawie treningu AI na Plikach Dźwiękowych.
"
resource_neuron_video,Neuron Wideo
resource_neuron_video_desc,"Wytwarzane na podstawie treningu AI na Plikach Wideo.

"
resource_neuron_program,Neuron Programowy
resource_neuron_program_desc,"Wytwarzane na podstawie treningu AI na Plikach Programowych.


"
resource_neuron_game,Neuron Gry
resource_neuron_game_desc,"Wytwarzane na podstawie treningu AI na Plikach Gier.


"
resource_payload_damage,Obraźenia od ładunku
resource_infection_damage,Obrażenia od infekcji 
resource_vulnerability,Podatność
resource_vulnerability_desc,Zwiększa otrzymywane obrażenia przez cele naruszenia; generowane z wykorzystaniem Mocy Hakowania.
resource_litecoin,Litecoin
resource_bitcoin,Bitcoin
resource_ethereum,Ethereum
resource_bool,bool
resource_bool_desc,Zmienna typu prymitywnego produkowana z kodowania.
resource_char,char
resource_char_desc,Zmienna typu prymitywnego produkowana z kodowania.
resource_int,int
resource_int_desc,"Zmienna typu prymitywnego produkowana z kodowania.
"
resource_float,float
resource_float_desc,"Zmienna typu prymitywnego produkowana z kodowania.
"
resource_bitflag,BitFlag
resource_bitflag_desc,Zmienna złożona wytworzona przy użyciu kodowania z wykorzystaniem typu bool + int.
resource_bigint,BigInt
resource_bigint_desc,"Zmienna złożona wytworzona przy użyciu kodowania z wykorzystaniem typu int + int.
"
resource_decimal,Decimal
resource_decimal_desc,"Zmienna złożona wytworzona przy użyciu kodowania z wykorzystaniem typu int + float.
"
resource_string,String
resource_string_desc,"Zmienna złożona wytworzona przy użyciu kodowania z wykorzystaniem typu char + char.
"
resource_vector,Vector
resource_vector_desc,"Zmienna złożona wytworzona przy użyciu kodowania z wykorzystaniem typu float + float.

"
resource_array_bool,Array[bool]
resource_array_bool_desc,Zmienna tablicowa wytworzona z kolekcji wartości typu bool.
resource_array_char,"Array[char]
"
resource_array_char_desc,Zmienna tablicowa wytworzona z kolekcji wartości typu char.
resource_array_int,"Array[int]
"
resource_array_int_desc,Zmienna tablicowa wytworzona z kolekcji wartości typu int.
resource_array_float,"Array[float]
"
resource_array_float_desc,Zmienna tablicowa wytworzona z kolekcji wartości typu float.
resource_array_bitflag,"Array[BitFlag]
"
resource_array_bitflag_desc,Zmienna tablicowa wytworzona z kolekcji wartości typu BitFlag.
resource_array_bigint,"Array[BigInt]
"
resource_array_bigint_desc,Zmienna tablicowa wytworzona z kolekcji wartości typu BigInt.
resource_array_decimal,"Array[Decimal]
"
resource_array_decimal_desc,Zmienna tablicowa wytworzona z kolekcji wartości typu Decimal.
resource_array_string,"Array[String]
"
resource_array_string_desc,Zmienna tablicowa wytworzona z kolekcji wartości typu String.
resource_array_vector,"Array[Vector]
"
resource_array_vector_desc,Zmienna tablicowa wytworzona z kolekcji wartości typu Vector.
resource_hashmap_bool,HashMap[bool]
resource_hashmap_bool_desc,Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[bool].
resource_hashmap_char,HashMap[char]
resource_hashmap_char_desc,"Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[char]
."
resource_hashmap_int,HashMap[int]
resource_hashmap_int_desc,"Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[int]
."
resource_hashmap_float,HashMap[float]
resource_hashmap_float_desc,"Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[float].

"
resource_hashmap_bitflag,HashMap[BitFlag]
resource_hashmap_bitflag_desc,"Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[BitFlag].

"
resource_hashmap_bigint,HashMap[BigInt]
resource_hashmap_bigint_desc,"Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[BigInt].

"
resource_hashmap_decimal,HashMap[Decimal]
resource_hashmap_decimal_desc,"Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[Decimal].

"
resource_hashmap_string,HashMap[String]
resource_hashmap_string_desc,"Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[String].

"
resource_hashmap_vector,HashMap[Vector]
resource_hashmap_vector_desc,"Zmienna typu HashMap wytworzona z Arrary[String] oraz Array[Vector].

"
resource_code_bugfix,Kod Poprawek
resource_code_bugfix_desc,Kod do poprawy błędów; może zostać zatwierdzony w zamian za Wkład.
resource_code_optimization,Kod Optymalizacji
resource_code_optimization_desc,Kod do optymalizowania innych kodów; może zostać zatwierdzony w zamian za Wkład lub przetworzony na Punkty Optymalizacji.
resource_code_application,Kod Aplikacji
resource_code_application_desc,Kod do aplikacji; może być zatwierdzony w zamian za Wkład lub przetworzony na Punkty Aplikacji.
resource_code_driver,Kod Sterowników
resource_code_driver_desc,Kod do sterowników; może być zatwierdzony dla reputacji i stworzony do ulepszeń sprzętu.
resource_text,Tekst
resource_text_desc,Plik tekstowy używany do przesyłania i badań.
resource_image,Obraz
resource_image_desc,Plik Obrazu używany do przesyłania i badań.
resource_sound,Dźwięk
resource_sound_desc,Plik Dźwiękowy używany do przesyłania i badań.
resource_video,Wideo
resource_video_desc,Plik Wideo używany do przesyłania i badań.
resource_program,Program
resource_program_desc,Plik Programu używany do przesyłania i badań.
resource_game,Gra
resource_game_desc,Plik Gry używany do przesyłania i badań.
window_processor,Procesor
window_processor_desc,Zapewnia Taktowanie
window_synchronizer,Synchronizator
window_synchronizer_desc,Łączy wiele Taktowań w jedną prędkość
window_thread_manager,Menedżer Wątków
window_thread_manager_desc,Rozdziela Taktowanie na dwa różne wyjścia
window_processing_seller,Sprzedawca Przetwarzania
window_processing_seller_desc,Sprzedaje Taktowanie w zamian za Pieniądze
window_virus_scanner,Skaner Wirusów
window_virus_scanner_desc,Skanuje pliki pod kątem wirusów. Skanowane pliki są warte 4x więcej. Zainfekowane pliki są warte 4x mniej.
window_quarantine,Kwarantanna
window_quarantine_desc,Usuwa wirusa z plików. Zainfekowane pliki są warte 4x mniej.
window_antivirus_pro,Antywirus Pro
window_antivirus_pro_desc,"Skanuje i usuwa wirusy z plików, zwiększając wartość o 4x"
window_verifier,Weryfikator Sumy Kontrolnej
window_enhancer,Ulepszacz
window_enhancer_desc,"Ulepsza pliki, zwiększając ich wartość 2x kosztem 2x większego rozmiaru"
window_compressor,Kompresor
window_compressor_desc,"Kompresuje pliki, zmniejszając rozmiar o 2x"
window_encompressor,Enkompresor
window_encompressor_desc,"Jednocześnie ulepsza i kompresuje pliki, zwiększając ich wartość 2x i zmniejszając rozmiar o 2x"
window_decompiler,Dekompilator
window_decompiler_desc,Dekompiluje Programy do Tekstu
window_decomposer,Dekompuzer
window_decomposer_desc,Dezintegruje Wideo na Obrazy
window_demuxer,Demukser
window_demuxer_desc,Rozdziela Wideo na Dźwięki
window_scrapper,Scrapper
window_scrapper_desc,Wydobywa Gry do Wideo
window_ripper,Ripper
window_ripper_desc,Wyodrębnia Gry do Programów
window_movie_maker,Edytor Wideo
window_movie_maker_desc,Tworzy Filmy z Obrazów i Plików Dźwiękowych
window_compiler,Kompilator
window_compiler_desc,Kompiluje Pliki Tekstowe do Programów
window_game_engine,Silnik Gry
window_game_engine_desc,Tworzy Gry z Programów i Plików Wideo
window_refiner,Rafinator Danych
window_refiner_desc,"Rafinuje pliki, aby zwiększyć wartość badań o 100%"
window_analyzer,Preanalizator
window_analyzer_desc,"Przeanalizowuje pliki, aby zwiększyć prędkość badań o 100%"
window_distillator,Destylator
window_distillator_desc,"Destyluje pliki, aby zwiększyć przyrost neuronów o 100%"
window_network,Sieć
window_network_desc,Zapewnia prędkość Pobierania i Wysyłania
window_download_manager,Menedżer Pobierania
window_download_manager_desc,Pobiera wszystkie typy plików z kontrolowanymi przez użytkownika proporcjami
window_downloader,Pobieracz
window_downloader_text,Pobieracz Tekstowy
window_downloader_text_desc,Pobiera Pliki Tekstowe używając prędkości Pobierania
window_downloader_image,Pobieracz Obrazów
window_downloader_image_desc,Pobiera Pliki Obrazów używając prędkości Pobierania
window_downloader_sound,Pobieracz Dźwięków
window_downloader_sound_desc,Pobiera Pliki Dźwiękowe używając prędkości Pobierania
window_downloader_video,Pobieracz Wideo
window_downloader_video_desc,Pobiera Pliki Wideo używając prędkości Pobierania
window_downloader_program,Pobieracz Programów
window_downloader_program_desc,Pobiera Pliki Programów używając prędkości Pobierania
window_downloader_game,Pobieracz Gier
window_downloader_game_desc,Pobiera Pliki Gier używając prędkości Pobierania
window_redownloader,Ponowny Pobieracz
window_server,Serwer
window_uploader,Wysyłacz
window_uploader_desc,Wysyła pliki używając prędkości Wysyłania w zamian za Pieniądze
window_request_uploader,Wysyłacz na żądanie
window_request_uploader_desc,Wysyła żądane pliki w zamian za Tokeny
window_gpu_cluster,Klaster GPU
window_gpu_cluster_desc,Zapewnia Prędkość GPU
window_gpu_synchronizer,Synchronizator GPU
window_gpu_synchronizer_desc,Łączy wiele Prędkości GPU w jedną Prędkość GPU
window_mine,Koparka
window_mine_litecoin,Kopanie Litecoina
window_mine_litecoin_desc,"Używa Prędkości GPU do kopania Litecoina, monety o niskiej zmienności"
window_mine_bitcoin,Kopanie Bitcoina
window_mine_bitcoin_desc,"Używa Prędkości GPU do kopania Bitcoina, monety o średniej zmienności"
window_mine_ethereum,Kopanie Ethereum
window_mine_ethereum_desc,"Używa Prędkości GPU do kopania Ethereum, monety o wysokiej zmienności"
window_mine_tether,Kopanie Tether
window_mine_tether_desc,"Używa prędkości GPU do kopania Tether, monety bez zmienności. Automatycznie zamienia na pieniądze"
window_mine_token,Kopanie Tokenów
window_mine_token_desc,Używa prędkości GPU do kopania Tokenów
window_crypto_seller,Sprzedawca Kryptowalut
window_crypto_seller_desc,Sprzedaje monety w zamian za Pieniądze
window_auto_crypto_seller,Automatyczny Sprzedawca Kryptowalut
window_auto_crypto_seller_desc,Automatycznie sprzedaje monety w zamian za Pieniądze
window_task_scheduler,Planer
window_task_scheduler_desc,Konwertuje Prędkość GPU na Taktowanie
window_movie_renderer,Renderer Filmów
window_movie_renderer_desc,Tworzy Filmy z Plików Obrazów i Dźwięków
window_trainer,Trener Sztucznej Inteligencji
window_file_generator,Generator Plików
window_generator_text,Generator Tekstu
window_generator_text_desc,Generuje niestandardowe Pliki Tekstowe używając Neuronów Tekstu
window_generator_image,Generator Obrazów
window_generator_image_desc,Generuje niestandardowe Pliki Obrazów używając Neuronów Obrazów
window_generator_sound,Generator Dźwięków
window_generator_sound_desc,Generuje niestandardowe Pliki Dźwiękowe używając Neuronów Dźwięku
window_generator_video,Generator Wideo
window_generator_video_desc,Generuje niestandardowe Pliki Wideo używając Neuronów Wideo
window_generator_program,Generator Programów
window_generator_program_desc,Generuje niestandardowe Pliki Programów używając Neuronów Programów
window_generator_game,Generator Gier
window_generator_game_desc,Generuje niestandardowe Pliki Gier używając Neuronów Gier
window_data_lab,Laboratorium Danych
window_data_lab_desc,Używa plików do generowania Badań
window_agi,Rdzeń AGI
window_agi_desc,Dostarcza moc AI na podstawie liczby wprowadzonych neuronów
window_research,Badania
window_research_desc,Zapewnia zwiększenie badań przy użyciu mocy AI
window_hack,Hakowanie
window_hack_desc,Zapewnia zwiększenie Hakowania przy użyciu mocy AI
window_code,Kod
window_code_desc,Zapewnia zwiększenie Kodu przy użyciu mocy AI
window_hacker,Interfejs Hakowania
window_hacker_desc,Zapewnia moc Hakowania na podstawie Doświadczenia Hakowania
window_payload_launcher,Uruchom Ładunek
window_payload_launcher_desc,"Buduje obrażenia Ładunkiem Startowym wykorzystującym moc Hakowania, które może być użyte do naruszenia celów"
window_build_infection,Zbuduj Infekcję
window_build_infection_desc,"Buduje obrażenia Infekcji wykorzystujące moc Hakowania, które mogą być użyte do naruszenia celów"
window_execute_injection,Wykonaj iniekcję
window_execute_injection_desc,"Używa mocy Hakowania do generowania Podatności, która może być użyta do osłabienia celów do naruszenia"
window_infect_payload,Zainfekuj Ładunek
window_critical_payload,Krytyczny Ładunek
window_ghost_attack,Atak Ducha
window_breach_anonymous,Anonimowe Włamanie
window_breach_anonymous_desc,"Rozpoczyna włamanie anonimowego użytkownika, przyznając Doświadczenie Hakerskie po sukcesie."
window_breach_corps,Włamanie do Korporacji
window_breach_corps_desc,"Rozpoczyna włamanie do korporacji, kradnąc Dane Korporacyjne po sukcesie."
window_breach_government,Włamanie do Rządu
window_breach_government_desc,"Rozpoczyna włamanie do rządu, kradnąc Dane Rządowe po sukcesie."
window_breach_bank,Włamanie do Banku
window_breach_bank_desc,"Rozpoczyna włamanie do banku, przyznając Tokeny po sukcesie."
window_drain,Odsysanie
window_drain_desc,Generuje wzmocnienie dla komponentów na podstawie Zainfekowanych Komputerów.
window_coder,Interfejs Kodu
window_coder_desc,Zapewnia Prędkość Kodu
window_ide,IDE
window_ide_desc,Generuje wszystkie prymitywne typy zmiennych z proporcjami kontrolowanymi przez użytkownika
window_code_variable,Kod zmiennej
window_code_bool,Kod bool
window_code_bool_desc,Generuje zmienne bool używając Prędkości kodowania
window_code_char,Kod char
window_code_char_desc,Generuje zmienne char używając Prędkości kodowania
window_code_int,Kod int
window_code_int_desc,Generuje zmienne int używając Prędkości kodowania
window_code_float,Kod float
window_code_float_desc,Generuje zmienne float używając Prędkości kodowania
window_variable_combiner,Łącznik zmiennych
window_variable_combiner_desc,Generuje zaawansowane zmienne na podstawie wprowadzonych zmiennych prymitywnych
window_code_array,Nowa tablica (Array)
window_code_array_desc,Generuje tablice na podstawie zmiennych
window_code_hashmap,Nowy HashMap
window_code_hashmap_desc,Generuje HashMapy z tablicy stringów i innej tablicy
window_commit,Zatwierdź
window_commit_desc,Zatwierdzanie kodu w zamian za Wkład
window_build,Buduj
window_build_desc,"Buduje optymalizacje, aplikacje i sterowniki"
window_code_bugfix,Naprawa błędów w kodzie
window_code_bugfix_desc,Naprawia błędy w kodzie używając zmiennych prymitywnych
window_code_optimization,Optymalizacja Kodu
window_code_optimization_desc,Optymalizuje kod przy użyciu zmiennych zaawansowanych
window_code_application,Kod Aplikacji
window_code_application_desc,Tworzy aplikacje używając tablic (Arrary)
window_code_driver,Kod Sterownika
window_code_driver_desc,Tworzy sterowniki używając HashMapów
window_debug,Debugowanie
window_fix_code,Naprawa Kodu
window_optimize_code,Optymalizuj Kod
window_collect,Zbieracz
window_collect_desc,Zbiera zasoby do wykorzystania poza pulpitem
window_auto_collect,Automatyczny Zbieracz
window_auto_collect_desc,Automatycznie zbiera zasoby do wykorzystania poza pulpitem
window_inventory,Ekwipunek
window_inventory_desc,Przechowuje zasoby tego samego typu i łączy je w jednym wyniku
window_splitter,Rodzielacz
window_splitter_desc,Dzieli zasoby na dwa różne wyjścia
window_folder,Folder
window_folder_desc,Przechowuje pliki tego samego typu i łączy je w jednym wyniku
window_allocator,Alokator
window_allocator_desc,Rozdziela pliki na dwa różne wyjścia
window_repository,Repozytorium
window_repository_desc,Przechowuje elementy tego samego typu i łączy je w jednym wyniku
window_segmenter,Segmenter
window_segmenter_desc,Rozdziela elementy na dwa różne wyjścia
window_container,Pojemnik
window_container_desc,Przechowuje materiały tego samego typu i łączy je w jednym wyniku
window_distributor,Dystrybutor
window_distributor_desc,Rozdziela materiały na dwa różne wyjścia
window_group,Grupa Węzłów
window_group_desc,Grupuje węzły razem dla łatwiejszego zarządzania i lepszej organizacji
window_bin,Kosz
window_network_exchanger,Wymieniacz Sieciowy
window_network_exchanger_desc,Konwertuje prędkość Wysyłania na Pobieranie i odwrotnie
window_overclocker,Podkręcacz
window_overclocker_desc,Ustawia poziom podkręcenia
window_heat_sink,Radiator
window_heat_sink_desc,Rozprasza ciepło generowane przez podkręcanie
window_air_cooler,Chłodzenie Powietrzne
window_water_cooler,Chłodzenie Wodne
window_jet_cooler,Chłodzenie Odrzutowe
window_cryo_cooler,Chłodzenie kriogeniczne
window_thermal_field_generator,Generator pola termicznego
upgrade_premium_texts,Teksty Premium
upgrade_premium_texts_desc,Zwiększa wartość Plików Tekstowych o 100%
upgrade_processor,Centralna Jednostka Przetwarzania
upgrade_processor_desc,Odblokowywuje Procesor
upgrade_request_uploader,Przepustka Przesyłającego
upgrade_request_uploader_desc,"Odblokowuje Przesyłanie na żądanie, co pozwala na przesyłanie plików na żądanie w zamian za Tokeny"
upgrade_image_downloader,Pobieracz Obrazów
upgrade_image_downloader_desc,Odblokowuje Pobieracz Obrazów
upgrade_antivirus,Antywirus
upgrade_antivirus_desc,"Odblokowuje Skaner Wirusów, który skanuje pliki pod kątem wirusów, zwiększając ich wartość"
upgrade_antivirus_plus,Antywirus+
upgrade_antivirus_plus_desc,"Odblokowuje Kwarantannę, która usuwa wirusy z plików i zwiększa ich wartość"
upgrade_premium_images,Obrazy Premium
upgrade_premium_images_desc,Zwiększa wartość Plików Obrazów o 100%
upgrade_sound_downloader,Pobieracz Dźwięków
upgrade_sound_downloader_desc,Odblokowuje Pobieracz Dźwięków
upgrade_gpu,Jednostka Przetwarzająca Grafikę
upgrade_gpu_desc,Odblokowywuje GPU
upgrade_premium_sounds,Dźwięki Premium
upgrade_premium_sounds_desc,Zwiększa wartość Plików Dźwiękowych o 100%
upgrade_video_downloader,Pobieracz Wideo
upgrade_video_downloader_desc,Odblokowywuje Pobieracz Wideo
upgrade_premium_videos,Wideo Premium
upgrade_premium_videos_desc,Zwiększa wartość Plików Wideo o 100%
upgrade_research,Badania
upgrade_research_desc,Odblokowuje Badania i Laboratorium Danych
upgrade_program_downloader,Pobieracz Programów
upgrade_program_downloader_desc,Odblokowuje Pobieracz Programów
upgrade_premium_programs,Programy Premium
upgrade_premium_programs_desc,Zwiększa wartość Plików Programów o 100%
upgrade_game_downloader,Pobieracz Gier
upgrade_game_downloader_desc,Odblokowywuje Pobieracz Gier
upgrade_premium_games,Gry Premium
upgrade_premium_games_desc,Zwiększa wartość Plików Gier o 100%
upgrade_improved_ai_texts,Ulepszone Generowanie Tekstu
upgrade_improved_ai_texts_desc,Zwiększa wartość Generowanego Tekstu o 100%
upgrade_improved_ai_images,Ulepszone Generowanie Obrazów
upgrade_improved_ai_images_desc,Zwiększa wartość Generowanego Obrazu o 100%
upgrade_improved_ai_sounds,Ulepszone Generowanie Dźwięków
upgrade_improved_ai_sounds_desc,Zwiększa wartość Generowanego Dźwięku o 100%
upgrade_improved_ai_videos,Ulepszone Generowanie Wideo
upgrade_improved_ai_videos_desc,Zwiększa wartość Generowanego Wideo o 100%
upgrade_improved_ai_programs,Ulepszone Generowanie Programu
upgrade_improved_ai_programs_desc,Zwiększa wartość Generowanego Programu o 100%
upgrade_improved_ai_games,Ulepszone Generowanie Gier
upgrade_improved_ai_games_desc,Zwiększa wartość Generowanych Gier o 100%
upgrade_heat_sink,Radiator
upgrade_heat_sink_desc,Zwiększa limit Radiatorów o 1
upgrade_server,Serwer
upgrade_processing_value_multiplier,Wartość Przetwarzania
upgrade_processing_value_multiplier_desc,Multiplikatywnie zwiększa pieniądze uzyskiwane od Sprzedawcy Przetwarzania o 100%
upgrade_mining_multiplier,Wartośc Krypto
upgrade_mining_multiplier_desc,Multiplikatywnie zwiększa Pieniądze uzyskiwane z monet krypto o 100%
upgrade_hack_breach_damage,Obrażenia Ładunku
upgrade_hack_breach_damage_desc,Zwiększa Obrażenia Ładunkiem o 10%
upgrade_hack_breach_speed,Prędkość Włamania
upgrade_hack_breach_speed_desc,Zwiększa Prędkość Włamań o 4%
upgrade_hack_breach_critical_chance,Szansa na Uderzenie Krytyczne
upgrade_hack_breach_critical_chance_desc,Dodaje 2% szansy na wygenerowanie obrażeń krytycznych
upgrade_hack_breach_critical_multiplier,Mnożnik obrażeń Krytycznych
upgrade_hack_breach_critical_multiplier_desc,Zwiększa obrażenia krytyczne o 12%
upgrade_hack_infection_damage,Obrażenia Infekcją
upgrade_hack_infection_damage_desc,Zwiększa Obrażenia Infekcją o 10%
upgrade_hack_infection_specialist,Specjalista od Infekcji
