labs_os,تاقیگەکەمان
max,ماکس
mk.,م.ک.
version,وەشان
ver.,ڤێرژن.
progress,بەرەو پێش چوون
ratio,ڕێژە
burn_rate,ڕێژەی سووتانی
speed,خێرایی
sell at,فرۆشتن لە...
rest_time,وەرەوە سەرەتا
rest_time_desc,خێرایی کات بە ڕێژەی 5x زیاد دەکات. لە هەر ٧٢ چرکەیەکدا لە ئۆفلاین ١ چرکە بەدەست دەهێنێت
time,کات
seconds,چرکەیەک
second_abbreviation,س
consumption,بەکارهێنان
multiplier,چەند هێندەکەر
breach_speed,خێرایی پێشێلکردن
breached,پێشێل کراوە
firewall,دیواری ئاگر
time_left,کاتی ماوە
vulnerable,لاواز
critical,گرنگ
completed,تەواو بووە
ready,ئامادە
new_achievement,دەستکەوتێکی نوێ
request_completed,داواکاری تەواو بووە
new_windows_processor,گرێی نوێی CPU بەردەستە
new_windows_network,گرێی تۆڕی نوێ بەردەستە
new_windows_gpu,گرێ نوێیەکانی GPU بەردەستە
new_windows_research,گرێی نوێی توێژینەوە بەردەستە
new_windows_hacking,گرێی نوێی هاککردن بەردەستە
new_windows_coding,گرێی کۆدکردنی نوێ بەردەستە
new_windows_utilities,گرێی سوودمەندی نوێ بەردەستە
new_upgrades_available,نوێکردنەوەی نوێ بەردەستە
new_hack_level,هاک ئاستی بەرز
new_code_level,ئاستی بەشداریکردن بەرز دەبێتەوە
new_application_point,خاڵێکی نوێی داواکاری
new_optimization_point,خاڵی باشترکردنی نوێ
breach_bank_failed,پێشێلکردنی بانک شکستی هێنا
breach_bank_success,پێشێلکردنی بانک تەواو بوو
tool_cursor,ئامرازی ئاماژەدەر
tool_move,ئامرازی جوڵاندن
tool_selection,ئامرازی هەڵبژاردن
tool_connection_editor_on,دەستکاریکەری پەیوەندی On
tool_connection_editor_off,دەستکاریکەری پەیوەندی کوژاوە
schematic_saved,شێماتیک پاشەکەوت کراوە
hold_to_skip,بۆ پەڕینەوە ڕایبگرە
support_us,پشتگیریمان بکەن بە کڕینی سەپۆت و بەدەستهێنانی نیشانە!
thank_you,سوپاس!
tokens_claimed,تۆکنەکانی پریمیۆم وەرتگرتبوو
resource_download_speed,خێرایی داگرتن
resource_download_speed_desc,خێرایی تۆڕ بۆ دابەزاندنی فایلەکان (بیت/چرکە).
resource_upload_speed,خێرایی بارکردن
resource_upload_speed_desc,خێرایی تۆڕ بۆ بارکردنی فایلەکان (بیت/چرکە).
resource_clock_speed,خێرایی کاتژمێر
resource_clock_speed_desc,خێرایی پرۆسێسەر بۆ پرۆسێسکردنی گرێکان (هێرتز).
resource_gpu_speed,خێرایی GPU
resource_gpu_speed_desc,خێرایی GPU بۆ پرۆسەی هاوتەریب (هێرتز).
resource_research_power,خێرایی توێژینەوە
resource_research_power_desc,Rate of files researched per second.
resource_hack_power,هاک پاوەر
resource_hack_power_desc,خێرایی پێشێلکردن کە بە ئاستی هاک تەرازوو دەبێت
resource_code_speed,خێرایی کۆدکردن
resource_code_speed_desc,خێرایی کۆدکردنی گۆڕاو کە لەگەڵ ئاستی بەشداریکردندا پێوانە دەکات.
resource_boost_component,پێکهاتەی خێراتر
resource_boost_component_desc,بووست بۆ پێکهاتەکانی ڕەقەکاڵا.
resource_boost_research,توێژینەوە بووست
resource_boost_research_desc,بووست بۆ خێرایی توێژینەوە.
resource_boost_hack,هاک بووست
resource_boost_hack_desc,بووست بۆ هاک پاوەر.
resource_boost_code,کۆد بووست
resource_boost_code_desc,  بووست بۆ خێرایی کۆد 
resource_overclock,ئۆڤەرکلۆک
resource_overclock_desc,ڕێکخستن کە بۆ بەرزکردنەوەی پێکهاتەکان بەکاردێت.
resource_heat,گەرمایی
resource_heat_desc,لە ئۆڤەرکلۆکەوە دروست بووە.
resource_money,پارە
resource_money_desc,لە ئۆڤەرکلۆکەوە دروست بووە.
resource_research,توێژینەوەی سەرچاوە
