labs_os,Labs OS
resource_download_speed,Atsisiuntimo Greitis
resource_download_speed_desc,Tinklo greitis failų atsiuntimui (bitai/sek).
resource_upload_speed,Įkėlimo Greitis
resource_upload_speed_desc,Tinklo greitis failų įkėlimui (bitai/sek).
resource_clock_speed,Laikrodžio Greitis
resource_clock_speed_desc,Procesoriaus greitis mazgų aprorojimui (hercais).
resource_gpu_speed,GPU Greitis
resource_gpu_speed_desc,GPU greitis paralelizuotiems procesams (hercais).
resource_research_power,Tyrimo Greitis
resource_research_power_desc,Per sekundę ištirtų failų skaičius.
resource_hack_power,Įsilaužimo Galia
resource_hack_power_desc,"Įsilaužimo greitis, kuris priklauso nuo Įsilaužimo Lygio."
resource_code_speed,Kodavimo Greitis
resource_code_speed_desc,"Kintantis kodavimo greitis, kuris priklauso nuo Prisidėjimo Lygio."
resource_boost_component,Komponentų Pagreitinimas
resource_boost_component_desc,Pagreitinimas aparatūrai.
resource_boost_research,Tyrimo Pagreitinimas
resource_boost_research_desc,Pagreitinimas Tyrimo Greičiui.
resource_boost_hack,Įsilaužimo Pagreitinimas
resource_boost_hack_desc,Pagreitinimas Įsilaužimo Greičiui.
resource_boost_code,Kodo Pagreitinimas
resource_boost_code_desc,Pagreitinimas Kodo Greičiui.
resource_overclock,Spartinimas
resource_overclock_desc,Nustatymas naudojamas pagreitinti komponentus.
resource_heat,Šiluma
resource_heat_desc,Gaminama nuo spartinimo.
resource_money,Pinigai
resource_money_desc,Valiuta patobulinimų atrakinimui.
resource_research,Tyrimas
resource_research_desc,Valiuta technologijų atrakinimui.
resource_token,Žetonas
resource_token_desc,"Reta valiuta unikalioms privilegijoms, padidinimams ir paslaugoms."
resource_infected_computer,Užkrėstas Kompiuteris
resource_infected_computer_desc,Gautas infiltruojant kompiuterius su Trojos arkliais.
resource_hack_experience,Įsilaužimo Patirtis
resource_hack_experience_desc,Padidina Įsilaužimo Lygį; gaunama įsilaužus į Anonymous.
resource_corporation_data,Korporacijos Duomenys
resource_corporation_data_desc,Gaunami įsilaužus į Korporacijas; naudojami įsilaužimo atnaujinimams.
resource_government_data,Vyriausybės Informacija
resource_government_data_desc,Gaunama įsilaužus į Vyriausybines institucijas; naudojama įsilaužimo atnaujinimams.
resource_contribution,Prisidėjimas
resource_contribution_desc,Padidina Prisidėjimo Lygį; gaunamas įvedant kodą.
resource_ai,DI Galia
resource_ai_desc,Padidina gamybą; gaunama iš neuronų.
resource_trojan,Trojos Arklys
resource_trojan_desc,Užkrečia kompiuterius kai įterptas į failą; gamybos mastas priklauso nuo Įsilaužimo Lygio.
resource_neuron_text,Teksto Neuronas
resource_neuron_text_desc,Sukurta remiantis DI mokymu Teksto failų pagrindu.
resource_neuron_image,Vaizdo Neuronas
resource_neuron_image_desc,Sukurta remiantis DI mokymu Vaizdo failų pagrindu.
resource_neuron_sound,Garso Neuronas
resource_neuron_sound_desc,Sukurta remiantis DI mokymu Garso failų pagrindu.
resource_neuron_video,Vaizdo Įrašo Neuronas
resource_neuron_video_desc,Sukurta remiantis DI mokymu Vaizdo Įrašų pagrindu.
resource_neuron_program,Programos Neuronas
resource_neuron_program_desc,Sukurta remiantis DI mokymu Programų pagrindu.
resource_neuron_game,Žaidimo Neuronas
resource_neuron_game_desc,Sukurta remiantis DI mokymu Žaidimų pagrindu.
resource_litecoin,Litecoin
resource_bitcoin,Bitcoin
resource_ethereum,Ethereum
resource_bool,bool
resource_bool_desc,Primityvaus tipo kintamasis pagamintas koduojant.
resource_char,char
resource_char_desc,Primityvaus tipo kintamasis pagamintas koduojant.
resource_int,int
resource_int_desc,Primityvaus tipo kintamasis pagamintas koduojant.
resource_float,float
resource_float_desc,Primityvaus tipo kintamasis pagamintas koduojant.
resource_bitflag,BitFlag
resource_bitflag_desc,"Kompleksinis kintamasis pagamintas koduojant, naudojant bool + int."
resource_bigint,BigInt
resource_bigint_desc,"Kompleksinis kintamasis pagamintas koduojant, naudojant int + int."
resource_decimal,Decimal
resource_decimal_desc,"Kompleksinis kintamasis pagamintas koduojant, naudojant int + float."
resource_string,String
resource_string_desc,"Kompleksinis kintamasis pagamintas koduojant, naudojant char + char."
resource_vector,Vector
resource_vector_desc,"Kompleksinis kintamasis pagamintas koduojant, naudojant float + float."
resource_array_bool,Array[bool]
resource_array_bool_desc,bool kolekcijos sukurtas masyvo kintamasis.
resource_array_char,Array[char]
resource_array_char_desc,char kolekcijos sukurtas masyvo kintamasis.
resource_array_int,Array[int]
resource_array_int_desc,int kolekcijos sukurtas masyvo kintamasis.
resource_array_float,Array[float]
resource_array_float_desc,float kolekcijos sukurtas masyvo kintamasis.
resource_array_bitflag,Array[BitFlag]
resource_array_bitflag_desc,BitFlag kolekcijos sukurtas masyvo kintamasis.
resource_array_bigint,Array[BigInt]
resource_array_bigint_desc,BigInt kolekcijos sukurtas masyvo kintamasis.
resource_array_decimal,Array[Decimal]
resource_array_decimal_desc,Decimal kolekcijos sukurtas masyvo kintamasis.
resource_array_string,Array[String]
resource_array_string_desc,String kolekcijos sukurtas masyvo kintamasis.
resource_array_vector,Array[Vector]
resource_array_vector_desc,Vector kolekcijos sukurtas masyvo kintamasis.
resource_hashmap_bool,HashMap[bool]
resource_hashmap_bool_desc,"HashMap kintamasis, sukurtas iš Array[String] ir Array[bool]."
resource_hashmap_char,HashMap[char]
resource_hashmap_char_desc,"HashMap kintamasis, sukurtas iš Array[String] ir Array[char]."
resource_hashmap_int,HashMap[int]
resource_hashmap_int_desc,"HashMap kintamasis, sukurtas iš Array[String] ir Array[int]."
resource_hashmap_float,HashMap[float]
resource_hashmap_float_desc,"HashMap kintamasis, sukurtas iš Array[String] ir Array[float]."
resource_hashmap_bitflag,HashMap[BitFlag]
resource_hashmap_bitflag_desc,"HashMap kintamasis, sukurtas iš Array[String] ir Array[BitFlag]."
resource_hashmap_bigint,Hashmap[BigInt]
resource_hashmap_bigint_desc,"HashMap kintamasis, sukurtas iš Array[String] ir Array[BigInt]."
resource_hashmap_decimal,HashMap[Decimal]
resource_hashmap_decimal_desc,"HashMap kintamasis, sukurtas iš Array[String] ir Array[Decimal]."
resource_hashmap_string,HashMap[String]
resource_hashmap_string_desc,"HashMap kintamasis, sukurtas iš Array[String] ir Array[String]."
resource_hashmap_vector,HashMap[Vector]
resource_hashmap_vector_desc,"HashMap kintamasis, sukurtas iš Array[String] ir Array[Vector]."
resource_text,Tekstas
upgrade_optimization_download_size,Suspausti Atsisiuntimai
upgrade_optimization_upload_size,Suspausti Įkėlimai
upgrade_optimization_hashing,Optimizuotas Maišos Algoritmas
upgrade_optimization_hashing_desc,Perpus sumažina kriptovaliutų kasybai reikalingų laikrodžio ciklų skaičių
upgrade_optimization_virus_scanner,Optimizuotas Virusų Skeneris
upgrade_optimization_virus_scanner_desc,Perpus sumažina virusų skeneriui reikalinų laikrodžio ciklų skaičių
upgrade_optimization_quarantine,Optimizuotas Karantinas
upgrade_optimization_verifier,Optimizuotas Vientisumo Patikrinimas
research_scheduler_desc,"Atrakina Planuotoją, leidžiantis konvertuoti GPU Greitį į Laikrodžio Greitį"
research_compression_level2,Dvigubas Suspaudimas
research_compression_level3,Trigubas Suspaudimas
research_compression_level_desc,Padidina maksimalų failų suspaudimo skaičių +1
research_enhancement_level2,Dvigubas Patobulinimas
research_enhancement_level3,Trigubas Patobulinimas
research_enhancement_level_desc,Padidina maksimalų failų patobulinimų skaičių +1
research_bitcoin,Bitcoin Kasimas
research_hacking,Įsilaužimai
research_hacking_desc,Atrakina prieigą prie įsilaužimų
research_trojan,Trojos arkliai
premium_token_pack,Žetonų Paketas
premium_token_pack_desc,"Iš karto gauti 5000 žetonų
+1 Paramos Lygis"
premium_chronomancer,Laiko Generatorius
tutorial_desc_press,"Šiame trumpame įvade sužinosime, kaip valdyti savo laboratoriją"
tutorial_desc_drag_download,"Pradėk ryšį, vilkdamas išvestį Atsisiuntimo greitis"
tutorial_desc_connect_download,"Pritvirtink jungtį prie Atsisiuntimo greitis įvesties, kad sukurtum ryšį"
tutorial_desc_press2,"Ryšiai eina iš kairės į dešinę. Išėjimai siunčia išteklius, o įėjimai juos gauna"
tutorial_desc_drag_bin_connector,"Pašalink ryšį, vilkdamas įvestį"
heat_death_universe,Visatos Šiluminė Mirtis
august_12_2036,"Rugpjūčio 12, 2036"
you_failed,Tau nepavyko išgelbėti visatos
for_now,Kol kas
english,Anglų
spanish,Ispanų
german,Vokiečių
french,Prancūzų
korean,Korėjiečių
indonesian,Indoniečių
portuguese,Portugalų
polish,Lenkų
italian,Italų
traditional_chinese,Tradicinė Kinų
japanese,Japonų
credits,Padėkos
